time,C0,C1,C2
0.00000000,1.000000000000e+02,5.000000000000e+01,1.000000000000e+01
1.00000000,9.000000000000e+01,4.500000000000e+01,9.000000000000e+00
2.00000000,8.100000000000e+01,4.050000000000e+01,8.100000000000e+00
3.00000000,7.290000000000e+01,3.645000000000e+01,7.290000000000e+00
4.00000000,6.561000000000e+01,3.280500000000e+01,6.561000000000e+00
5.00000000,5.904900000000e+01,2.952450000000e+01,5.904900000000e+00
6.00000000,5.314410000000e+01,2.657205000000e+01,5.314410000000e+00
7.00000000,4.782969000000e+01,2.391484500000e+01,4.782969000000e+00
8.00000000,4.304672100000e+01,2.152336050000e+01,4.304672100000e+00
9.00000000,3.874204890000e+01,1.937102445000e+01,3.874204890000e+00
10.00000000,3.486784401000e+01,1.743392200500e+01,3.486784401000e+00
